mChi                 mPhi                 xsec                 s95(exp)             s95(obs)            
10                   100                  1981.002891          0.0862470            0.1792275
10                   300                  27.72093818          0.0865917            0.1795496
100                  300                  21.0888169           0.0852026            0.1759138
200                  300                  14.46820016          0.0842982            0.1740775
10                   400                  8.782172702          0.0846906            0.1758556
100                  400                  6.888270983          0.0834555            0.1729923
200                  400                  4.861236276          0.0859767            0.1772624
300                  400                  3.500422343          0.0854734            0.1768038
10                   500                  3.537828275          0.0853549            0.1762782
100                  500                  2.840752454          0.0852000            0.1765089
200                  500                  2.048750868          0.0860875            0.1773272
300                  500                  1.489624904          0.0846510            0.1751961
400                  500                  1.115367876          0.0867452            0.1791158
10                   700                  0.9087767419         0.0860171            0.1776153
100                  700                  0.7331688653         0.0848906            0.1748753
200                  700                  0.542835097          0.0851638            0.1769192
300                  700                  0.4003331228         0.0850542            0.1760839
400                  700                  0.2987089937         0.0842745            0.1735989
500                  700                  0.2287654197         0.0857754            0.1770298
600                  700                  0.1775571476         0.0841626            0.1751577
10                   1000                 0.21519616198        0.0866228            0.1787566
100                  1000                 0.1745815638         0.0855602            0.1769940
200                  1000                 0.12989838764        0.0846022            0.1753648
300                  1000                 0.09566543642        0.0847719            0.1751267
400                  1000                 0.07154932652        0.0836417            0.1735734
500                  1000                 0.05453243965        0.0843070            0.1746514
600                  1000                 0.041878281          0.0850387            0.1751398
700                  1000                 0.03258675156        0.0845195            0.1749227
800                  1000                 0.02585125495        0.0854415            0.1768546
10                   1200                 0.10416242633        0.0844069            0.1752267
100                  1200                 0.08402970375        0.0853680            0.1756382
200                  1200                 0.06230816031        0.0854520            0.1762581
300                  1200                 0.04614408207        0.0853421            0.1770805
400                  1200                 0.03446232613        0.0853637            0.1766874
500                  1200                 0.02593917412        0.0847888            0.1756194
600                  1200                 0.01981200971        0.0853852            0.1767080
700                  1200                 0.01526074656        0.0845920            0.1750688
800                  1200                 0.01193095733        0.0853426            0.1762662
1000                 1200                 0.00752312602        0.0850585            0.1760676
10                   1400                 0.056459653193       0.0855642            0.1768745
100                  1400                 0.045950249736       0.0864408            0.1773869
200                  1400                 0.033818442454       0.0855393            0.1765410
300                  1400                 0.024918601434       0.0865102            0.1782293
400                  1400                 0.01847042859        0.0846835            0.1743229
500                  1400                 0.013848316091       0.0834431            0.1728480
600                  1400                 0.01048509601        0.0859989            0.1784868
700                  1400                 0.008005787767       0.0848245            0.1753585
800                  1400                 0.006194822745       0.0844745            0.1752472
1000                 1400                 0.003804149652       0.0849611            0.1755497
1200                 1400                 0.002421301057       0.0853876            0.1766454
10                   1500                 0.042989099759       0.0851146            0.1769324
100                  1500                 0.035241159143       0.0844915            0.1750260
200                  1500                 0.025828423701       0.0848739            0.1760858
300                  1500                 0.019003351688       0.0856335            0.1770369
400                  1500                 0.014066902402       0.0842510            0.1745321
500                  1500                 0.010478200984       0.0843877            0.1750990
600                  1500                 0.007894780909       0.0856047            0.1768334
700                  1500                 0.005998183379       0.0846286            0.1752011
800                  1500                 0.004610850783       0.0840076            0.1738056
1000                 1500                 0.002805823076       0.0841271            0.1732707
1200                 1500                 0.001768630532       0.0843075            0.1751155
1400                 1500                 0.001136383794       0.0854157            0.1760967
10                   2000                 0.0139704786528      0.0852641            0.1757753
100                  2000                 0.0116177299746      0.0829275            0.1713986
200                  2000                 0.0085529599033      0.0827431            0.1723043
300                  2000                 0.0062553690327      0.0872795            0.1803578
400                  2000                 0.0045797814025      0.0850382            0.1753947
500                  2000                 0.0033632782027      0.0841542            0.1727903
600                  2000                 0.0024900854451      0.0843525            0.1744729
700                  2000                 0.0018542419282      0.0871412            0.1790543
800                  2000                 0.0013922373603      0.0855396            0.1767537
1000                 2000                 0.0008016893764      0.0833064            0.1732654
1200                 2000                 0.0004699490222      0.0848380            0.1748242
1400                 2000                 0.0002843814578      0.0844740            0.1741558
1600                 2000                 0.0001760577007      0.0842479            0.1739000
10                   2500                 0.00598638617674     0.0864360            0.1775802
100                  2500                 0.00501598938311     0.0849826            0.1764054
200                  2500                 0.00370849236653     0.0865802            0.1789029
300                  2500                 0.00271155955614     0.0856402            0.1760827
400                  2500                 0.00198184597925     0.0855089            0.1762352
500                  2500                 0.00145083853414     0.0841134            0.1736557
600                  2500                 0.00106415148055     0.0837289            0.1730452
700                  2500                 0.00078702778796     0.0858453            0.1763742
800                  2500                 0.00058167872571     0.0849197            0.1758603
1000                 2500                 0.00032141329643     0.0838631            0.1733198
1200                 2500                 0.00017926539327     0.0843698            0.1741999
1400                 2500                 0.00010143322119     0.0860931            0.1775388
1600                 2500                 5.832843104e-05      0.0849610            0.1764662
2000                 2500                 2.02555255e-05       0.0856366            0.1766250
10                   3000                 0.0029889389019      0.0853325            0.1764513
100                  3000                 0.00253470498176     0.0848765            0.1754861
200                  3000                 0.001882712903       0.0847961            0.1751112
300                  3000                 0.00138685768456     0.0854242            0.1765439
400                  3000                 0.00101887022414     0.0840230            0.1742052
500                  3000                 0.000747702710646    0.0851744            0.1755495
600                  3000                 0.000548363879095    0.0854372            0.1764212
700                  3000                 0.000404955149683    0.0853354            0.1761825
800                  3000                 0.000297111123972    0.0850793            0.1762766
1000                 3000                 0.000161184319054    0.0844125            0.1749902
1200                 3000                 8.7459304775e-05     0.0857433            0.1769745
1400                 3000                 4.7739333152e-05     0.0842306            0.1735091
1600                 3000                 2.6014826934e-05     0.0839604            0.1729885
2000                 3000                 7.791869031e-06      0.0841703            0.1745201
10                   3500                 0.00165829730989     0.0846416            0.1747829
100                  3500                 0.00142641179691     0.0841890            0.1750967
200                  3500                 0.00106400858066     0.0861097            0.1773208
300                  3500                 0.000790051761239    0.0864926            0.1795271
400                  3500                 0.000583145943497    0.0853088            0.1767786
500                  3500                 0.000431284782448    0.0839386            0.1745343
600                  3500                 0.000317798976876    0.0861031            0.1774107
700                  3500                 0.000233960517611    0.0840441            0.1738535
800                  3500                 0.000172133886496    0.0839859            0.1739065
1000                 3500                 9.38635190438e-05    0.0854024            0.1764409
1200                 3500                 5.05358249889e-05    0.0843450            0.1749955
1400                 3500                 2.69935497476e-05    0.0846106            0.1743849
1600                 3500                 1.43753778039e-05    0.0847157            0.1749269
2000                 3500                 3.9650331284e-06     0.0857330            0.1770430
10                   4000                 0.00101572481001     0.0856984            0.1778101
100                  4000                 0.000859364509975    0.0859919            0.1785459
200                  4000                 0.000649007880015    0.0829995            0.1720837
300                  4000                 0.000484931956009    0.0843753            0.1745165
400                  4000                 0.000360851242059    0.0841789            0.1742953
500                  4000                 0.000266485123375    0.0832323            0.1725363
600                  4000                 0.00019840248442     0.0842629            0.1749685
700                  4000                 0.000146862219115    0.0856371            0.1774790
800                  4000                 0.000108640566749    0.0840474            0.1736568
1000                 4000                 5.94808706155e-05    0.0844148            0.1739650
1200                 4000                 3.21149443321e-05    0.0839627            0.1739955
1400                 4000                 1.71157232173e-05    0.0864408            0.1791033
1600                 4000                 9.08189940771e-06    0.0852794            0.1767183
2000                 4000                 2.40839865122e-06    0.0856426            0.1765101
